Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Taijuan Walker","PHI",3,0,0,4,4,22,6.545454545454546,2.4545454545454546,2.0454545454545454,0.31746031746031744,0.80769231,0.294117647,0.135135135,91.81090887661638,4.909090909090909,6.27,5.717384854230014,5.126475820554928,0.04630175977945328,"Taijuan Walker",11836,592836
"Jhony Brito","SDP",0,2,0,14,0,22.1,4.029851319875478,2.014925659937739,0.8059702639750956,0.31645569620253167,0.65068493,0.4875,0.068965517,96.6538908883427,4.432836451863026,4.44,4.066774404625201,4.72752484540695,0.04432930052280426,"Jhony Brito",25386,666745
"Kevin Ginkel","ARI",2,0,5,18,0,17.1,8.307692917141027,2.5961540366065714,1.0384616146426284,0.3,0.64356436,0.384615384,0.1,96.13296370967743,4.153846458570514,3.93,3.8187835064160085,3.9404051762263164,0.04388123378157616,"Kevin Ginkel",19876,656464
"Stephen Kolek","SDP",0,0,0,20,0,21,7.714287115603332,3.000000544956851,0.8571430128448146,0.3384615384615385,0.7615894,0.507692307,0.125,95.68718872070312,4.285715064224073,4.59,3.9359997198965813,3.768689548122549,0.041361253708601,"Stephen Kolek",21487,663568
"Brent Suter","CIN",0,0,0,18,1,26.1,7.860760460400849,2.7341775514437736,1.3670887757218868,0.2702702702702703,0.76642336,0.363636363,0.121212121,,3.7594941332351888,4.29,4.379640474399319,4.16616118870485,0.036969833076000214,"Brent Suter",13942,608718
"Alexis Díaz","CIN",1,2,7,17,0,15.2,9.191490853734257,6.893618140300692,0.574468178358391,0.3023255813953488,0.57971014,0.363636363,0.047619047,94.08829890536722,7.468086318659084,3.74,4.7860505008007195,5.840104771572875,0.036650702357292175,"Alexis Diaz",21132,664747
"Logan Gillaspie","SDP",0,0,0,1,0,0.2,27.000028163224034,0,0,0,1,0,0,94.33474731445312,0,0,-2.873530495173306,-2.873530495173306,0.030253561213612556,"Logan Gillaspie",22461,670810
"Justin Wilson","CIN",1,0,0,16,0,10.2,11.812503872440535,1.6875005532057907,2.531250829808686,0.34615384615384615,0.74074074,0.25,0.1875,95.26844937193627,5.906251936220268,2.97,5.001476377994024,3.4533340296280657,0.029697053134441376,"Justin Wilson",4301,458677
"Sixto Sánchez","MIA",0,1,0,11,4,22.2,5.1617650678413804,3.5735296623517248,0.7941177027448277,0.325,0.52486188,0.506172839,0.09090909,94.77221476236979,5.955882770586208,4.09,4.582358218353107,4.799369395376559,0.02909296751022339,"Sixto Sanchez",19680,664350
"Ricky Vanasco","LAD",0,0,0,1,0,2,4.5,0,0,0,1,0.6,0,95.6692403157552,0,1.69,2.126475763320923,2.829178483039141,0.027483560144901276,"Ricky Vanasco",23391,676568
"Joan Adon","WSN",0,0,0,1,1,4,4.5,6.75,0,0.23076923076923078,0.83333333,0.583333333,0,94.986572265625,2.25,6.47,4.376475763320923,4.727827123180032,0.026642190292477608,"Joan Adon",22925,672851
"Randy Vásquez","SDP",0,2,0,4,4,15.2,6.319149577277729,2.2978725735555376,1.7234044301666533,0.38181818181818183,0.60483871,0.448275862,0.136363636,94.7488863760965,6.319149577277729,5.31,5.169029162036956,4.653215471467029,0.02156386710703373,"Randy Vasquez",24719,681190
"Paul Sewald","ARI",0,0,2,4,0,4,9,2.25,2.25,0.1111111111111111,1,0.4,0.2,91.30855887276786,2.25,1.8,5.126475763320923,3.6332325626164677,0.0195919256657362,"Paul Sewald",13892,623149
"Daniel Hudson","LAD",1,1,2,18,0,18,9.5,0.5,2,0.20454545454545456,0.83333333,0.333333333,0.181818181,95.66191007653062,3,3.15,4.070920207765368,2.8997490781876776,0.0180639810860157,"Daniel Hudson",7146,543339
"J.B. Bukauskas","MIL",0,0,0,6,0,6,9.000002861023859,1.5000004768373099,1.5000004768373099,0.14285714285714285,1,0.466666666,0.2,,1.5000004768373099,7.15,3.793142641915283,2.7976468583193923,0.015685388818383217,"J.B. Bukauskas",20491,656266
"Tyler Jay","NYM",0,0,0,2,0,4,2.25,2.25,0,0.3125,0.83333333,0.666666666,0,92.040283203125,2.25,3.82,3.376475763320923,4.781881202757359,0.01204310916364193,"Tyler Jay",17952,664079
"Tyler Fitzgerald","SFG",0,0,0,3,0,3,0,0,0,0.42857142857142855,0.5,0.214285714,0,59.225490993923614,9,4.32,3.1264757633209235,6.4057551220059405,0.012013712897896767,"Tyler Fitzgerald",26208,666149
"Eduardo Salazar","LAD",0,0,0,1,0,2,13.5,9,0,0.6,0.8,0.4,0,,0,5.96,3.126475763320923,3.126475763320923,0.011850846000015736,"Eduardo Salazar",23135,674285
"Blake Walston","ARI",0,0,0,1,0,3.2,12.272729400761241,9.818183520608992,0,0.375,0.71428571,0.375,0,92.0562109375,4.909091760304496,6.43,3.671930403354756,4.821807780458844,0.009172536432743073,"Blake Walston",26270,686796
