Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Zack Short","- - -",15,30,0,6,2,1,0.233333333,0.3,0.090909091,0.384615384,0.227272727,0.413793103,0.318181818,0.34799857797293826,0.279,123.54563247612373,-0.13980432506650686,0.6760256530869824,0.46586403250694275,0.223950573780915,"Zack Short",19562,670097
"Trey Lipscomb","WSN",33,122,1,16,9,10,0.090163934,0.163934426,0.037383178,0.298850574,0.252336448,0.330578512,0.289719626,0.2874424851630345,0.29,84.22905255831267,0.48237268533557653,-1.7398401883580354,-0.18711131811141968,0.22376304630080068,"Trey Lipscomb",31567,702358
"Tyler Wade","SDP",34,79,0,12,6,5,0.101265822,0.202531645,0.029411764,0.326923076,0.25,0.337662337,0.279411764,0.2886234103859245,0.323,90.70095313000103,0.8489166609942913,0.0004523640071418811,-0.5246126353740692,0.22055121428553678,"Tyler Wade",15730,642180
"Enrique Hernández","LAD",33,98,2,6,7,0,0.081632653,0.173469387,0.078651685,0.253521126,0.224719101,0.285714285,0.303370786,0.2673154625357414,0.318,73.35941241036932,-0.20413894252851605,-3.219490262710471,2.0158365964889526,0.2157333388873887,"Enrique Hernandez",10472,571771
"Sal Frelick","MIL",42,164,2,21,10,6,0.091463414,0.219512195,0.095238095,0.321100917,0.25170068,0.329268292,0.346938775,0.30687316852371865,0.27,97.5834747721332,0.5787404258735478,0.12101690957590322,-3.5491760969161987,0.21319982019630684,"Sal Frelick",29622,686217
"Francisco Alvarez","NYM",16,59,1,8,8,1,0.06779661,0.237288135,0.127272727,0.3,0.236363636,0.288135593,0.363636363,0.2900832871259269,0.255,91.0241048951393,0.049242520704865456,-0.5624002182322418,0.625872015953064,0.21227937860764118,"Francisco Alvarez",26121,682626
"Tomás Nido","NYM",19,55,1,4,3,0,0.036363636,0.236363636,0.078431373,0.27027027,0.215686274,0.245283018,0.294117647,0.2413674311817817,0.32,57.944796111842976,-0.030904036480933428,-2.7023751125228928,2.857406198978424,0.20791011191182768,"Tomas Nido",13755,621512
"Luis Campusano","SDP",40,144,3,18,24,0,0.0625,0.131944444,0.140740741,0.292035398,0.266666666,0.3125,0.407407407,0.31817646076281864,0.291,110.76822814671112,-0.7273900061845779,1.0635242130210165,-3.8919713497161865,0.20619096363193004,"Luis Campusano",22217,669134
"José Azocar","SDP",34,54,0,8,2,0,0.074074074,0.259259259,0.020408163,0.4,0.285714285,0.339622641,0.306122448,0.2954253464374902,0.298,95.31964120626007,-0.22053852444514632,-0.5124431326299036,0.6822769343852997,0.20597227680437857,"Jose Azocar",18821,640492
"Riley Adams","WSN",20,75,2,6,6,1,0.093333333,0.293333333,0.16923077,0.302325581,0.23076923,0.306666666,0.4,0.3054238888057503,0.32,96.43888428407486,-0.29549026722088456,-0.6039620145472018,0.010590940713882446,0.19937320775008904,"Riley Adams",19864,656180
